2012-10-31 13:41:51.3251 INFO Task Error with NHibernate session
2012-10-31 13:43:18.4508 INFO Task Error with NHibernate session
2012-10-31 13:43:22.1292 INFO Task Error with NHibernate session
2012-10-31 13:43:37.5597 INFO Task Error with NHibernate session
2012-10-31 13:43:38.3288 INFO Task Error with NHibernate session
2012-10-31 13:43:39.3329 INFO Task Error with NHibernate session
2012-10-31 13:43:40.2280 INFO Task Error with NHibernate session
2012-10-31 13:43:40.2430 INFO Task Error with NHibernate session
2012-10-31 13:45:17.0987 INFO Task Error with NHibernate session
2012-10-31 13:45:19.8209 INFO Task Error with NHibernate session
2012-10-31 13:45:23.6303 INFO Task Error with NHibernate session
2012-10-31 13:45:25.0124 INFO Task Error with NHibernate session
2012-10-31 13:45:25.0464 INFO Task Error with NHibernate session
2012-10-31 18:08:54.0481 INFO Task Components are initialized
2012-10-31 18:09:04.4190 INFO Task Error with NHibernate session
2012-10-31 18:10:47.6814 INFO Task Error with NHibernate session
2012-10-31 18:11:06.2977 INFO Task Error with NHibernate session
2012-10-31 18:11:06.5526 INFO Task Error with NHibernate session
2012-10-31 18:11:16.4146 INFO Task Error with NHibernate session
2012-10-31 18:11:16.4556 INFO Task Error with NHibernate session
2012-10-31 18:11:20.2239 INFO Task Error with NHibernate session
2012-10-31 18:11:20.2549 INFO Task Error with NHibernate session
2012-10-31 18:11:24.2791 INFO Task Error with NHibernate session
2012-10-31 18:11:24.3081 INFO Task Error with NHibernate session
2012-10-31 18:20:39.4228 INFO Task Components are initialized
2012-10-31 18:20:43.2252 INFO Task Error with NHibernate session
2012-10-31 18:20:54.6313 INFO Task Error with NHibernate session
2012-10-31 18:20:54.6673 INFO Task Error with NHibernate session
2012-10-31 18:20:55.8714 INFO Task Error with NHibernate session
2012-10-31 18:20:56.1425 INFO Task Error with NHibernate session
2012-10-31 18:21:05.5494 INFO Task Error with NHibernate session
2012-10-31 18:21:10.9759 INFO Task Error with NHibernate session
2012-10-31 18:21:28.1527 INFO Task Components are initialized
2012-10-31 18:21:31.6340 INFO Task Error with NHibernate session
2012-10-31 18:21:35.8214 INFO Task Error with NHibernate session
2012-10-31 18:21:36.4445 INFO Task Error with NHibernate session
2012-10-31 18:22:27.7926 INFO Task Components are initialized
2012-10-31 18:22:31.0790 INFO Task Error with NHibernate session
2012-10-31 18:22:34.2403 INFO Task Error with NHibernate session
2012-10-31 18:22:34.6903 INFO Task Error with NHibernate session
2012-10-31 18:22:41.1210 INFO Task Error with NHibernate session
2012-10-31 18:24:13.9702 INFO Task Error with NHibernate session
2012-10-31 18:24:14.0672 INFO Task Error with NHibernate session
2012-10-31 18:25:43.8048 INFO Task Error with NHibernate session
2012-10-31 18:25:46.4248 INFO Task Error with NHibernate session
2012-10-31 18:25:46.5328 INFO Task Error with NHibernate session
2012-10-31 18:25:48.8368 INFO Task Error with NHibernate session
2012-10-31 18:26:52.3338 INFO Task Error with NHibernate session
2012-10-31 18:26:52.4188 INFO Task Error with NHibernate session
2012-10-31 18:26:53.9328 INFO Task Error with NHibernate session
2012-10-31 18:26:55.5298 INFO Task Error with NHibernate session
2012-10-31 18:26:56.3878 INFO Task Error with NHibernate session
2012-10-31 18:37:36.1418 INFO Task Components are initialized
2012-10-31 18:37:42.1318 INFO Task Error with NHibernate session
2012-10-31 18:37:43.0018 INFO Task Error with NHibernate session
2012-10-31 18:37:47.9387 INFO Task Error with NHibernate session
2012-10-31 18:37:47.9717 INFO Task Error with NHibernate session
2012-10-31 18:37:48.6908 INFO Task Error with NHibernate session
2012-10-31 18:39:19.2659 INFO Task Error with NHibernate session
2012-10-31 18:39:19.5210 INFO Task Error with NHibernate session
2012-10-31 18:39:31.4233 INFO Task Error with NHibernate session
2012-10-31 18:39:32.3705 INFO Task Error with NHibernate session
2012-10-31 18:39:32.8756 INFO Task Error with NHibernate session
2012-10-31 18:39:35.0781 INFO Task Error with NHibernate session
2012-10-31 18:42:07.6096 INFO Task Error with NHibernate session
2012-10-31 18:43:33.9368 INFO Task Error with NHibernate session
2012-10-31 18:43:34.6039 INFO Task Error with NHibernate session
2012-10-31 18:43:49.6784 INFO Task Error with NHibernate session
2012-10-31 18:43:49.7154 INFO Task Error with NHibernate session
2012-10-31 18:44:55.3570 INFO Task Error with NHibernate session
2012-10-31 18:44:55.9360 INFO Task Error with NHibernate session
